,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade
7762,2008-01-07,449,TTH4,06,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7763,2008-01-07,479,TTH4,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7764,2008-01-07,499,TTH4,ES,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7765,2012-01-05,347,TTH4,01,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7766,2012-01-05,362,TTH4,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7767,2012-01-05,377,TTH4,03,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7768,2012-01-05,396,TTH4,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7769,2012-01-05,424,TTH4,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7770,2012-01-05,449,TTH4,06,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7771,2012-01-05,479,TTH4,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7772,2012-01-05,499,TTH4,ES,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7773,2013-07-07,347,TTH4,01,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7774,2013-07-07,362,TTH4,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
7775,2013-07-07,377,TTH4,03,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE,796,796
